prot_id,prot_len,prot_auc,prot_ap,prot_mcc,prot_acc,prot_pres,prot_spec,prot_sens,prot_f1,prot_conf,cutoff
P08921,344,0.93,0.748,0.714,0.895,0.783,0.931,0.783,0.783,"[[243  18]
 [ 18  65]]",0.302
A0A0F4FI39,334,0.652,0.046,-0.031,0.94,0.0,0.969,0.0,0.0,"[[314  10]
 [ 10   0]]",0.747
P0A3Q9,312,0.731,0.429,0.237,0.737,0.406,0.831,0.406,0.406,"[[202  41]
 [ 41  28]]",0.749
Q2G542,288,0.819,0.627,0.454,0.792,0.595,0.86,0.595,0.595,"[[184  30]
 [ 30  44]]",0.703
F9UST4,276,0.751,0.45,0.301,0.754,0.46,0.84,0.46,0.46,"[[179  34]
 [ 34  29]]",0.592
Q5SHU9,253,0.673,0.355,0.357,0.881,0.423,0.934,0.423,0.423,"[[212  15]
 [ 15  11]]",0.803
Q8TZY3,212,0.484,0.076,-0.087,0.84,0.0,0.913,0.0,0.0,"[[178  17]
 [ 17   0]]",0.767
Q9Z2X2,231,0.839,0.676,0.448,0.827,0.556,0.892,0.556,0.556,"[[166  20]
 [ 20  25]]",0.635
P14831,217,0.949,0.613,0.499,0.935,0.533,0.965,0.533,0.533,"[[195   7]
 [  7   8]]",0.783
A0A0H2VDD2,207,0.639,0.06,-0.04,0.923,0.0,0.96,0.0,0.0,"[[191   8]
 [  8   0]]",0.857
O33927,197,0.852,0.287,0.205,0.868,0.278,0.927,0.278,0.278,"[[166  13]
 [ 13   5]]",0.87
D0CY60,192,0.759,0.087,-0.038,0.927,0.0,0.962,0.0,0.0,"[[178   7]
 [  7   0]]",0.881
P10109,184,0.948,0.596,0.613,0.946,0.643,0.971,0.643,0.643,"[[165   5]
 [  5   9]]",0.845
C0JWR6,170,0.805,0.304,0.317,0.871,0.389,0.928,0.389,0.389,"[[141  11]
 [ 11   7]]",0.661
Q15388,145,0.471,0.038,-0.036,0.931,0.0,0.964,0.0,0.0,"[[135   5]
 [  5   0]]",0.842
E1BSW7,139,0.831,0.701,0.443,0.741,0.647,0.795,0.647,0.647,"[[70 18]
 [18 33]]",0.885
Q7A189,109,0.385,0.1,-0.135,0.761,0.0,0.865,0.0,0.0,"[[83 13]
 [13  0]]",0.815
P0A734,88,0.667,0.403,0.162,0.659,0.4,0.762,0.4,0.4,"[[48 15]
 [15 10]]",0.884
P23945,695,0.853,0.271,0.321,0.919,0.364,0.957,0.364,0.364,"[[623  28]
 [ 28  16]]",0.603
O75807,674,0.969,0.274,0.261,0.976,0.273,0.988,0.273,0.273,"[[655   8]
 [  8   3]]",0.701
Q9BTE3,642,0.151,0.005,-0.008,0.984,0.0,0.992,0.0,0.0,"[[632   5]
 [  5   0]]",0.635
P37090,638,0.877,0.044,-0.009,0.981,0.0,0.991,0.0,0.0,"[[626   6]
 [  6   0]]",0.653
P46075,634,0.775,0.307,0.264,0.836,0.358,0.906,0.358,0.358,"[[501  52]
 [ 52  29]]",0.56
Q87SR8,626,0.88,0.099,-0.025,0.952,0.0,0.975,0.0,0.0,"[[596  15]
 [ 15   0]]",0.788
Q9Y5P4,624,0.824,0.09,0.028,0.946,0.056,0.972,0.056,0.056,"[[589  17]
 [ 17   1]]",0.736
P06601,613,0.96,0.42,0.32,0.974,0.333,0.987,0.333,0.333,"[[593   8]
 [  8   4]]",0.732
Q38846,613,0.665,0.121,0.041,0.869,0.111,0.93,0.111,0.111,"[[528  40]
 [ 40   5]]",0.523
D9SIP4,595,0.741,0.194,0.059,0.896,0.114,0.945,0.114,0.114,"[[529  31]
 [ 31   4]]",0.638
D3GUV9,576,0.849,0.359,0.378,0.958,0.4,0.978,0.4,0.4,"[[544  12]
 [ 12   8]]",0.561
P37173,567,0.623,0.027,-0.02,0.961,0.0,0.98,0.0,0.0,"[[545  11]
 [ 11   0]]",0.553
Q9Y6K8,562,0.463,0.066,-0.081,0.851,0.0,0.919,0.0,0.0,"[[478  42]
 [ 42   0]]",0.665
P34913,555,0.587,0.036,-0.03,0.942,0.0,0.97,0.0,0.0,"[[523  16]
 [ 16   0]]",0.562
Q9BZE9,553,0.821,0.297,0.247,0.881,0.312,0.935,0.312,0.312,"[[472  33]
 [ 33  15]]",0.644
P02836,552,0.956,0.403,0.315,0.964,0.333,0.981,0.333,0.333,"[[527  10]
 [ 10   5]]",0.658
Q5TKA1,542,0.719,0.113,-0.019,0.867,0.053,0.929,0.053,0.053,"[[468  36]
 [ 36   2]]",0.627
A0A109PTH9,528,0.587,0.033,-0.025,0.951,0.0,0.975,0.0,0.0,"[[502  13]
 [ 13   0]]",0.673
Q99593,518,0.81,0.085,-0.036,0.931,0.0,0.964,0.0,0.0,"[[482  18]
 [ 18   0]]",0.807
Q9H0F5,515,0.944,0.221,0.045,0.95,0.071,0.974,0.071,0.071,"[[488  13]
 [ 13   1]]",0.508
O69787,512,0.73,0.207,0.268,0.895,0.325,0.943,0.325,0.325,"[[445  27]
 [ 27  13]]",0.779
P11349,512,0.596,0.387,0.121,0.605,0.42,0.701,0.42,0.42,"[[237 101]
 [101  73]]",0.717
P15289,507,0.898,0.074,-0.01,0.98,0.0,0.99,0.0,0.0,"[[497   5]
 [  5   0]]",0.806
Q99FX5,496,0.459,0.012,-0.012,0.976,0.0,0.988,0.0,0.0,"[[484   6]
 [  6   0]]",0.602
P09167,493,0.695,0.215,0.16,0.826,0.259,0.901,0.259,0.259,"[[392  43]
 [ 43  15]]",0.602
O60016,490,0.556,0.021,-0.019,0.963,0.0,0.981,0.0,0.0,"[[472   9]
 [  9   0]]",0.79
P16778,487,0.263,0.005,-0.006,0.988,0.0,0.994,0.0,0.0,"[[481   3]
 [  3   0]]",0.452
Q9BZI7,483,0.963,0.603,0.518,0.954,0.542,0.976,0.542,0.542,"[[448  11]
 [ 11  13]]",0.765
Q5SM28,477,0.763,0.392,0.28,0.82,0.386,0.894,0.386,0.386,"[[364  43]
 [ 43  27]]",0.758
P17901,475,0.855,0.331,0.411,0.966,0.429,0.983,0.429,0.429,"[[453   8]
 [  8   6]]",0.66
Q01786,466,0.492,0.004,-0.002,0.996,0.0,0.998,0.0,0.0,"[[464   1]
 [  1   0]]",0.743
Q15208,465,0.162,0.014,-0.022,0.957,0.0,0.978,0.0,0.0,"[[445  10]
 [ 10   0]]",0.786
Q16790,459,0.758,0.356,0.267,0.795,0.39,0.877,0.39,0.39,"[[335  47]
 [ 47  30]]",0.659
Q9H7Z6,458,0.618,0.184,0.074,0.777,0.203,0.871,0.203,0.203,"[[343  51]
 [ 51  13]]",0.615
B8HDZ1,445,0.8,0.703,0.438,0.739,0.644,0.794,0.644,0.644,"[[224  58]
 [ 58 105]]",0.614
Q7Z6B0,441,0.841,0.063,-0.021,0.959,0.0,0.979,0.0,0.0,"[[423   9]
 [  9   0]]",0.832
Q99538,433,0.922,0.507,0.494,0.931,0.531,0.963,0.531,0.531,"[[386  15]
 [ 15  17]]",0.721
P0A6H1,424,0.911,0.477,0.47,0.943,0.5,0.97,0.5,0.5,"[[388  12]
 [ 12  12]]",0.576
Q9XVS8,421,0.889,0.384,0.318,0.891,0.378,0.94,0.378,0.378,"[[361  23]
 [ 23  14]]",0.744
A3DBG4,419,0.471,0.044,-0.05,0.905,0.0,0.95,0.0,0.0,"[[379  20]
 [ 20   0]]",0.6
O14733,419,0.475,0.028,-0.029,0.943,0.0,0.971,0.0,0.0,"[[395  12]
 [ 12   0]]",0.684
Q4WQS0,406,0.755,0.068,-0.03,0.941,0.0,0.97,0.0,0.0,"[[382  12]
 [ 12   0]]",0.805
G4RIN4,401,0.692,0.106,0.128,0.925,0.167,0.961,0.167,0.167,"[[368  15]
 [ 15   3]]",0.668
P15529,392,0.72,0.08,0.016,0.918,0.059,0.957,0.059,0.059,"[[359  16]
 [ 16   1]]",0.672
Q3U4G3,392,0.895,0.194,0.282,0.964,0.3,0.982,0.3,0.3,"[[375   7]
 [  7   3]]",0.699
O25175,389,0.39,0.039,-0.051,0.902,0.0,0.949,0.0,0.0,"[[351  19]
 [ 19   0]]",0.533
P49599,388,0.946,0.367,0.413,0.954,0.438,0.976,0.438,0.438,"[[363   9]
 [  9   7]]",0.698
Q9M8R4,388,0.752,0.347,0.3,0.84,0.392,0.908,0.392,0.392,"[[306  31]
 [ 31  20]]",0.68
Q9S7E4,384,0.93,0.747,0.538,0.875,0.613,0.925,0.613,0.613,"[[298  24]
 [ 24  38]]",0.707
Q9BY41,377,0.741,0.415,0.171,0.708,0.36,0.811,0.36,0.36,"[[236  55]
 [ 55  31]]",0.74
Q84527,372,0.779,0.474,0.363,0.785,0.5,0.863,0.5,0.5,"[[252  40]
 [ 40  40]]",0.584
Q8IEW2,366,0.954,0.666,0.549,0.918,0.595,0.954,0.595,0.595,"[[314  15]
 [ 15  22]]",0.595
P36094,363,0.953,0.494,0.491,0.923,0.533,0.958,0.533,0.533,"[[319  14]
 [ 14  16]]",0.805
O29915,362,0.735,0.07,-0.04,0.923,0.0,0.96,0.0,0.0,"[[334  14]
 [ 14   0]]",0.766
Q13351,362,0.832,0.082,-0.028,0.945,0.0,0.972,0.0,0.0,"[[342  10]
 [ 10   0]]",0.759
B3PDE5,360,0.433,0.036,-0.043,0.917,0.0,0.957,0.0,0.0,"[[330  15]
 [ 15   0]]",0.727
Q94IF5,348,0.692,0.041,-0.024,0.954,0.0,0.976,0.0,0.0,"[[332   8]
 [  8   0]]",0.789
Q6Q0J0,345,0.757,0.346,0.343,0.959,0.364,0.979,0.364,0.364,"[[327   7]
 [  7   4]]",0.798
Q5SMC7,342,0.53,0.031,-0.027,0.947,0.0,0.973,0.0,0.0,"[[324   9]
 [  9   0]]",0.756
O95400,341,0.77,0.206,0.058,0.853,0.138,0.92,0.138,0.138,"[[287  25]
 [ 25   4]]",0.702
C4YMW2,339,0.679,0.166,0.095,0.858,0.172,0.923,0.172,0.172,"[[286  24]
 [ 24   5]]",0.748
Q8TBZ6,339,0.736,0.056,-0.024,0.953,0.0,0.976,0.0,0.0,"[[323   8]
 [  8   0]]",0.728
O95278,331,0.667,0.36,0.221,0.831,0.317,0.903,0.317,0.317,"[[262  28]
 [ 28  13]]",0.66
Q9NRQ2,329,0.424,0.023,-0.025,0.951,0.0,0.975,0.0,0.0,"[[313   8]
 [  8   0]]",0.569
G7K2D1,328,0.907,0.551,0.36,0.872,0.432,0.928,0.432,0.432,"[[270  21]
 [ 21  16]]",0.85
P77173,328,0.872,0.476,0.328,0.872,0.4,0.928,0.4,0.4,"[[272  21]
 [ 21  14]]",0.703
Q13227,327,0.947,0.44,0.329,0.927,0.368,0.961,0.368,0.368,"[[296  12]
 [ 12   7]]",0.805
Q9HV00,309,0.476,0.015,-0.013,0.974,0.0,0.987,0.0,0.0,"[[301   4]
 [  4   0]]",0.833
C9K1X5,307,0.893,0.537,0.429,0.902,0.483,0.946,0.483,0.483,"[[263  15]
 [ 15  14]]",0.698
A0QWG5,304,0.589,0.264,0.119,0.77,0.255,0.864,0.255,0.255,"[[222  35]
 [ 35  12]]",0.534
P20581,301,0.789,0.243,0.185,0.88,0.25,0.935,0.25,0.25,"[[259  18]
 [ 18   6]]",0.651
Q9UNP9,301,0.659,0.072,0.045,0.927,0.083,0.962,0.083,0.083,"[[278  11]
 [ 11   1]]",0.806
Q47212,300,0.492,0.083,-0.099,0.82,0.0,0.901,0.0,0.0,"[[246  27]
 [ 27   0]]",0.73
P45379,298,0.825,0.275,0.125,0.805,0.237,0.888,0.237,0.237,"[[231  29]
 [ 29   9]]",0.68
O74986,294,0.505,0.01,-0.007,0.986,0.0,0.993,0.0,0.0,"[[290   2]
 [  2   0]]",0.957
Q9C8L4,294,0.845,0.499,0.32,0.837,0.415,0.905,0.415,0.415,"[[229  24]
 [ 24  17]]",0.679
Q4WF29,292,0.901,0.585,0.555,0.89,0.619,0.936,0.619,0.619,"[[234  16]
 [ 16  26]]",0.752
P06229,291,0.648,0.253,0.022,0.704,0.204,0.819,0.204,0.204,"[[194  43]
 [ 43  11]]",0.598
C7MT25,287,0.897,0.548,0.428,0.902,0.481,0.946,0.481,0.481,"[[246  14]
 [ 14  13]]",0.747
P67087,286,0.802,0.589,0.445,0.825,0.554,0.891,0.554,0.554,"[[205  25]
 [ 25  31]]",0.729
P37551,285,0.75,0.421,0.209,0.74,0.373,0.836,0.373,0.373,"[[189  37]
 [ 37  22]]",0.723
V9P0A9,283,0.639,0.362,0.166,0.675,0.387,0.779,0.387,0.387,"[[162  46]
 [ 46  29]]",0.753
P11086,282,0.76,0.163,0.113,0.872,0.182,0.931,0.182,0.182,"[[242  18]
 [ 18   4]]",0.702
P29241,282,0.564,0.343,0.03,0.603,0.309,0.721,0.309,0.309,"[[145  56]
 [ 56  25]]",0.639
A0A223GEC9,274,0.729,0.328,0.217,0.759,0.365,0.851,0.365,0.365,"[[189  33]
 [ 33  19]]",0.728
Q9P7M3,271,0.397,0.074,-0.097,0.823,0.0,0.903,0.0,0.0,"[[223  24]
 [ 24   0]]",0.745
P13717,266,0.538,0.077,-0.081,0.85,0.0,0.919,0.0,0.0,"[[226  20]
 [ 20   0]]",0.793
P10746,265,0.542,0.046,-0.043,0.917,0.0,0.957,0.0,0.0,"[[243  11]
 [ 11   0]]",0.646
F6BCS4,263,0.842,0.68,0.534,0.787,0.699,0.835,0.699,0.699,"[[142  28]
 [ 28  65]]",0.747
Q8ZPX9,262,0.801,0.06,-0.023,0.954,0.0,0.977,0.0,0.0,"[[250   6]
 [  6   0]]",0.675
A0A010,260,0.849,0.743,0.513,0.8,0.653,0.859,0.653,0.653,"[[159  26]
 [ 26  49]]",0.609
O67757,248,0.766,0.543,0.346,0.774,0.491,0.855,0.491,0.491,"[[165  28]
 [ 28  27]]",0.537
Q0I165,236,0.944,0.597,0.519,0.932,0.556,0.963,0.556,0.556,"[[210   8]
 [  8  10]]",0.913
Q12163,236,0.938,0.747,0.588,0.898,0.647,0.941,0.647,0.647,"[[190  12]
 [ 12  22]]",0.703
O69245,232,0.859,0.655,0.428,0.853,0.514,0.914,0.514,0.514,"[[180  17]
 [ 17  18]]",0.868
O74859,232,0.583,0.164,0.043,0.784,0.167,0.876,0.167,0.167,"[[177  25]
 [ 25   5]]",0.769
P9WGX5,232,0.682,0.445,0.357,0.828,0.459,0.897,0.459,0.459,"[[175  20]
 [ 20  17]]",0.675
Q9XCC7,226,0.638,0.488,0.24,0.717,0.429,0.812,0.429,0.429,"[[138  32]
 [ 32  24]]",0.773
O25140,221,0.414,0.019,-0.018,0.964,0.0,0.982,0.0,0.0,"[[213   4]
 [  4   0]]",0.763
Q9BT30,221,0.834,0.4,0.395,0.9,0.45,0.945,0.45,0.45,"[[190  11]
 [ 11   9]]",0.817
A9CID8,217,0.901,0.75,0.591,0.889,0.657,0.934,0.657,0.657,"[[170  12]
 [ 12  23]]",0.731
Q8DWD0,217,0.931,0.672,0.625,0.926,0.667,0.959,0.667,0.667,"[[185   8]
 [  8  16]]",0.747
P30014,215,0.783,0.735,0.399,0.702,0.67,0.729,0.67,0.67,"[[86 32]
 [32 65]]",0.577
Q8A336,214,0.874,0.605,0.534,0.879,0.606,0.928,0.606,0.606,"[[168  13]
 [ 13  20]]",0.822
Q9BQB4,213,0.772,0.066,-0.029,0.944,0.0,0.971,0.0,0.0,"[[201   6]
 [  6   0]]",0.896
D9PY12,212,0.888,0.577,0.509,0.858,0.595,0.914,0.595,0.595,"[[160  15]
 [ 15  22]]",0.792
Q12285,212,0.878,0.714,0.595,0.821,0.729,0.866,0.729,0.729,"[[123  19]
 [ 19  51]]",0.711
Q8VSD5,212,0.807,0.324,0.271,0.887,0.333,0.938,0.333,0.333,"[[182  12]
 [ 12   6]]",0.768
P31340,211,0.453,0.045,-0.05,0.905,0.0,0.95,0.0,0.0,"[[191  10]
 [ 10   0]]",0.857
P9WK15,210,0.684,0.407,0.157,0.667,0.386,0.771,0.386,0.386,"[[118  35]
 [ 35  22]]",0.683
Q88CM1,207,0.753,0.536,0.343,0.729,0.533,0.81,0.533,0.533,"[[119  28]
 [ 28  32]]",0.684
A0A1Z1F9L9,205,0.475,0.275,-0.097,0.541,0.23,0.674,0.23,0.23,"[[97 47]
 [47 14]]",0.605
Q8Y9T5,205,0.728,0.382,0.058,0.688,0.256,0.802,0.256,0.256,"[[130  32]
 [ 32  11]]",0.686
Q9BUH6,204,0.843,0.522,0.397,0.853,0.483,0.914,0.483,0.483,"[[160  15]
 [ 15  14]]",0.757
P40080,203,0.66,0.11,-0.086,0.842,0.0,0.914,0.0,0.0,"[[171  16]
 [ 16   0]]",0.737
D0VWS5,201,0.74,0.124,0.025,0.891,0.083,0.942,0.083,0.083,"[[178  11]
 [ 11   1]]",0.754
P56162,201,0.92,0.72,0.592,0.92,0.636,0.955,0.636,0.636,"[[171   8]
 [  8  14]]",0.79
O95147,198,0.704,0.033,-0.015,0.97,0.0,0.985,0.0,0.0,"[[192   3]
 [  3   0]]",0.73
O41136,197,0.712,0.188,0.184,0.878,0.25,0.934,0.25,0.25,"[[169  12]
 [ 12   4]]",0.679
Q93RS6,190,0.631,0.152,0.181,0.874,0.25,0.931,0.25,0.25,"[[162  12]
 [ 12   4]]",0.709
O75223,188,0.721,0.194,0.105,0.83,0.2,0.905,0.2,0.2,"[[152  16]
 [ 16   4]]",0.672
Q9NY25,188,0.837,0.627,0.376,0.745,0.556,0.821,0.556,0.556,"[[110  24]
 [ 24  30]]",0.435
P40029,184,0.787,0.175,0.048,0.902,0.1,0.948,0.1,0.1,"[[165   9]
 [  9   1]]",0.886
P22629,183,0.942,0.953,0.715,0.858,0.865,0.851,0.865,0.865,"[[74 13]
 [13 83]]",0.677
O25094,180,0.768,0.592,0.422,0.811,0.541,0.881,0.541,0.541,"[[126  17]
 [ 17  20]]",0.73
O00762,179,0.809,0.275,0.235,0.855,0.316,0.919,0.316,0.316,"[[147  13]
 [ 13   6]]",0.86
O60888,179,0.91,0.8,0.589,0.832,0.706,0.883,0.706,0.706,"[[113  15]
 [ 15  36]]",0.88
Q87W03,179,0.832,0.482,0.325,0.832,0.423,0.902,0.423,0.423,"[[138  15]
 [ 15  11]]",0.741
P9WQB5,177,0.683,0.559,0.263,0.672,0.508,0.754,0.508,0.508,"[[89 29]
 [29 30]]",0.931
O07747,176,0.896,0.428,0.351,0.875,0.421,0.93,0.421,0.421,"[[146  11]
 [ 11   8]]",0.65
Q55554,167,0.807,0.376,0.271,0.808,0.385,0.887,0.385,0.385,"[[125  16]
 [ 16  10]]",0.963
P01180,166,0.788,0.485,0.286,0.783,0.419,0.867,0.419,0.419,"[[117  18]
 [ 18  13]]",0.47
P16048,165,0.902,0.654,0.607,0.927,0.647,0.959,0.647,0.647,"[[142   6]
 [  6  11]]",0.904
Q7VYH2,160,0.447,0.401,-0.033,0.512,0.361,0.606,0.361,0.361,"[[60 39]
 [39 22]]",0.616
P23657,157,0.82,0.707,0.491,0.758,0.689,0.802,0.689,0.689,"[[77 19]
 [19 42]]",0.677
Q4KC91,156,0.734,0.281,0.163,0.782,0.292,0.871,0.292,0.292,"[[115  17]
 [ 17   7]]",0.812
P40515,155,0.79,0.45,0.313,0.755,0.472,0.84,0.472,0.472,"[[100  19]
 [ 19  17]]",0.751
Q57221,151,0.766,0.278,0.157,0.815,0.263,0.894,0.263,0.263,"[[118  14]
 [ 14   5]]",0.768
Q98IZ3,150,0.868,0.701,0.563,0.853,0.656,0.907,0.656,0.656,"[[107  11]
 [ 11  21]]",0.793
O33283,149,0.778,0.593,0.377,0.772,0.528,0.85,0.528,0.528,"[[96 17]
 [17 19]]",0.765
O31511,147,0.846,0.742,0.481,0.782,0.636,0.845,0.636,0.636,"[[87 16]
 [16 28]]",0.826
Q8XI95,147,0.808,0.511,0.321,0.769,0.469,0.852,0.469,0.469,"[[98 17]
 [17 15]]",0.679
Q9HU04,147,0.849,0.803,0.576,0.81,0.72,0.856,0.72,0.72,"[[83 14]
 [14 36]]",0.747
Q9HYC4,145,0.842,0.346,0.227,0.848,0.312,0.915,0.312,0.312,"[[118  11]
 [ 11   5]]",0.781
F9USS0,144,0.772,0.32,0.22,0.806,0.333,0.886,0.333,0.333,"[[109  14]
 [ 14   7]]",0.809
Q3YPH0,143,0.527,0.1,-0.1,0.818,0.0,0.9,0.0,0.0,"[[117  13]
 [ 13   0]]",0.795
Q5LEL2,143,0.557,0.161,-0.06,0.734,0.095,0.844,0.095,0.095,"[[103  19]
 [ 19   2]]",0.767
Q9JYH5,143,0.862,0.786,0.482,0.762,0.667,0.815,0.667,0.667,"[[75 17]
 [17 34]]",0.769
Q24570,138,0.684,0.082,-0.053,0.899,0.0,0.947,0.0,0.0,"[[124   7]
 [  7   0]]",0.605
Q8ZVX8,138,0.746,0.64,0.414,0.725,0.635,0.779,0.635,0.635,"[[67 19]
 [19 33]]",0.783
Q9I380,135,0.666,0.479,0.218,0.689,0.432,0.786,0.432,0.432,"[[77 21]
 [21 16]]",0.758
P38877,133,0.533,0.602,-0.04,0.489,0.547,0.414,0.547,0.547,"[[24 34]
 [34 41]]",0.897
P51460,131,0.939,0.775,0.682,0.878,0.765,0.918,0.765,0.765,"[[89  8]
 [ 8 26]]",0.755
Q663P0,130,0.326,0.011,-0.008,0.985,0.0,0.992,0.0,0.0,"[[128   1]
 [  1   0]]",0.89
B2TEV0,129,0.812,0.739,0.488,0.767,0.667,0.821,0.667,0.667,"[[69 15]
 [15 30]]",0.789
P13081,126,0.765,0.5,0.322,0.778,0.462,0.86,0.462,0.462,"[[86 14]
 [14 12]]",0.797
O68196,125,0.856,0.63,0.448,0.808,0.571,0.876,0.571,0.571,"[[85 12]
 [12 16]]",0.809
A1JSR8,120,0.519,0.394,0.021,0.55,0.372,0.649,0.372,0.372,"[[50 27]
 [27 16]]",0.715
A9CIG0,116,0.8,0.042,-0.009,0.983,0.0,0.991,0.0,0.0,"[[114   1]
 [  1   0]]",0.904
Q53VW9,116,0.563,0.727,0.057,0.569,0.667,0.39,0.667,0.667,"[[16 25]
 [25 50]]",0.825
A0A0H3JPM4,114,0.948,0.595,0.452,0.912,0.5,0.952,0.5,0.5,"[[99  5]
 [ 5  5]]",0.762
Q9RHG4,114,0.775,0.864,0.424,0.772,0.843,0.581,0.843,0.843,"[[18 13]
 [13 70]]",0.513
Q8ML92,106,0.946,0.702,0.562,0.906,0.615,0.946,0.615,0.615,"[[88  5]
 [ 5  8]]",0.807
Q00459,103,0.585,0.592,0.149,0.592,0.488,0.661,0.488,0.488,"[[41 21]
 [21 20]]",0.75
Q47785,103,0.53,0.395,0.061,0.573,0.389,0.672,0.389,0.389,"[[45 22]
 [22 14]]",0.783
Q5LAZ3,99,0.808,0.515,0.396,0.798,0.524,0.872,0.524,0.524,"[[68 10]
 [10 11]]",0.822
Q6MX18,97,0.634,0.615,0.165,0.588,0.535,0.63,0.535,0.535,"[[34 20]
 [20 23]]",0.865
P78556,96,0.6,0.29,-0.086,0.604,0.174,0.74,0.174,0.174,"[[54 19]
 [19  4]]",0.849
Q5W1E8,96,0.822,0.697,0.543,0.833,0.652,0.89,0.652,0.652,"[[65  8]
 [ 8 15]]",0.811
F7YBW8,93,0.468,0.288,-0.181,0.484,0.2,0.619,0.2,0.2,"[[39 24]
 [24  6]]",0.95
O43504,91,0.739,0.777,0.472,0.736,0.727,0.745,0.727,0.727,"[[35 12]
 [12 32]]",0.74
L7N6F8,90,0.822,0.413,0.275,0.778,0.412,0.863,0.412,0.412,"[[63 10]
 [10  7]]",0.756
Q89VT6,90,0.903,0.585,0.44,0.844,0.533,0.907,0.533,0.533,"[[68  7]
 [ 7  8]]",0.83
A0QP50,87,0.723,0.803,0.337,0.678,0.725,0.611,0.725,0.725,"[[22 14]
 [14 37]]",0.821
Q1MVD4,82,0.712,0.706,0.268,0.634,0.625,0.643,0.625,0.625,"[[27 15]
 [15 25]]",0.748
P41784,80,0.652,0.775,0.243,0.65,0.725,0.517,0.725,0.725,"[[15 14]
 [14 37]]",0.797
Q889N2,80,0.644,0.628,0.175,0.6,0.515,0.66,0.515,0.515,"[[31 16]
 [16 17]]",0.762
Q7Y5B1,78,0.544,0.323,-0.009,0.615,0.25,0.741,0.25,0.25,"[[43 15]
 [15  5]]",0.815
Q6Q546,73,0.742,0.366,0.358,0.836,0.455,0.903,0.455,0.455,"[[56  6]
 [ 6  5]]",0.817
P54494,71,0.733,0.378,0.11,0.718,0.286,0.825,0.286,0.286,"[[47 10]
 [10  4]]",0.821
