prot_id,prot_len,prot_auc,prot_ap,prot_mcc,prot_acc,prot_pres,prot_spec,prot_sens,prot_f1,prot_conf,cutoff
S7UWA0,399,0.703,0.039,-0.023,0.955,0.0,0.977,0.0,0.0,"[[381   9]
 [  9   0]]",0.775
Q95XC8,352,0.634,0.146,0.034,0.801,0.146,0.887,0.146,0.146,"[[276  35]
 [ 35   6]]",0.745
P08921,344,0.89,0.701,0.619,0.86,0.711,0.908,0.711,0.711,"[[237  24]
 [ 24  59]]",0.216
A0A0F4FI39,334,0.475,0.03,-0.031,0.94,0.0,0.969,0.0,0.0,"[[314  10]
 [ 10   0]]",0.797
P0A3Q9,312,0.713,0.406,0.237,0.737,0.406,0.831,0.406,0.406,"[[202  41]
 [ 41  28]]",0.825
Q2G542,288,0.852,0.717,0.527,0.819,0.649,0.879,0.649,0.649,"[[188  26]
 [ 26  48]]",0.767
F9UST4,276,0.734,0.432,0.301,0.754,0.46,0.84,0.46,0.46,"[[179  34]
 [ 34  29]]",0.651
Q5SHU9,253,0.702,0.379,0.314,0.874,0.385,0.93,0.385,0.385,"[[211  16]
 [ 16  10]]",0.804
Q8TZY3,212,0.372,0.062,-0.087,0.84,0.0,0.913,0.0,0.0,"[[178  17]
 [ 17   0]]",0.806
Q9Z2X2,231,0.785,0.616,0.448,0.827,0.556,0.892,0.556,0.556,"[[166  20]
 [ 20  25]]",0.719
P14831,217,0.803,0.234,0.141,0.889,0.2,0.941,0.2,0.2,"[[190  12]
 [ 12   3]]",0.873
A0A0H2VDD2,207,0.631,0.07,-0.04,0.923,0.0,0.96,0.0,0.0,"[[191   8]
 [  8   0]]",0.855
O33927,197,0.853,0.327,0.327,0.888,0.389,0.939,0.389,0.389,"[[168  11]
 [ 11   7]]",0.879
D0CY60,192,0.869,0.143,0.11,0.938,0.143,0.968,0.143,0.143,"[[179   6]
 [  6   1]]",0.905
P10109,184,0.947,0.547,0.459,0.924,0.5,0.959,0.5,0.5,"[[163   7]
 [  7   7]]",0.901
C0JWR6,170,0.741,0.345,0.254,0.859,0.333,0.921,0.333,0.333,"[[140  12]
 [ 12   6]]",0.717
Q15388,145,0.391,0.033,-0.036,0.931,0.0,0.964,0.0,0.0,"[[135   5]
 [  5   0]]",0.891
E1BSW7,139,0.824,0.696,0.412,0.727,0.627,0.784,0.627,0.627,"[[69 19]
 [19 32]]",0.854
Q7A189,109,0.325,0.09,-0.135,0.761,0.0,0.865,0.0,0.0,"[[83 13]
 [13  0]]",0.847
P0A734,88,0.639,0.414,0.106,0.636,0.36,0.746,0.36,0.36,"[[47 16]
 [16  9]]",0.882
P23945,695,0.873,0.349,0.321,0.919,0.364,0.957,0.364,0.364,"[[623  28]
 [ 28  16]]",0.581
O75807,674,0.931,0.21,0.261,0.976,0.273,0.988,0.273,0.273,"[[655   8]
 [  8   3]]",0.8
Q9BTE3,642,0.115,0.005,-0.008,0.984,0.0,0.992,0.0,0.0,"[[632   5]
 [  5   0]]",0.748
P37090,638,0.504,0.011,-0.009,0.981,0.0,0.991,0.0,0.0,"[[626   6]
 [  6   0]]",0.701
P46075,634,0.785,0.385,0.236,0.83,0.333,0.902,0.333,0.333,"[[499  54]
 [ 54  27]]",0.685
Q87SR8,626,0.915,0.172,0.18,0.962,0.2,0.98,0.2,0.2,"[[599  12]
 [ 12   3]]",0.817
Q9Y5P4,624,0.758,0.067,-0.03,0.942,0.0,0.97,0.0,0.0,"[[588  18]
 [ 18   0]]",0.755
P06601,613,0.963,0.416,0.32,0.974,0.333,0.987,0.333,0.333,"[[593   8]
 [  8   4]]",0.745
Q38846,613,0.81,0.195,0.161,0.886,0.222,0.938,0.222,0.222,"[[533  35]
 [ 35  10]]",0.641
D9SIP4,595,0.729,0.19,0.059,0.896,0.114,0.945,0.114,0.114,"[[529  31]
 [ 31   4]]",0.679
D3GUV9,576,0.812,0.141,0.171,0.944,0.2,0.971,0.2,0.2,"[[540  16]
 [ 16   4]]",0.467
P37173,567,0.435,0.017,-0.02,0.961,0.0,0.98,0.0,0.0,"[[545  11]
 [ 11   0]]",0.736
Q9Y6K8,562,0.659,0.108,-0.055,0.854,0.024,0.921,0.024,0.024,"[[479  41]
 [ 41   1]]",0.546
P34913,555,0.526,0.034,-0.03,0.942,0.0,0.97,0.0,0.0,"[[523  16]
 [ 16   0]]",0.665
Q9BZE9,553,0.839,0.291,0.316,0.892,0.375,0.941,0.375,0.375,"[[475  30]
 [ 30  18]]",0.596
P02836,552,0.952,0.336,0.315,0.964,0.333,0.981,0.333,0.333,"[[527  10]
 [ 10   5]]",0.705
Q5TKA1,542,0.716,0.111,-0.047,0.863,0.026,0.927,0.026,0.026,"[[467  37]
 [ 37   1]]",0.605
A0A109PTH9,528,0.596,0.033,-0.025,0.951,0.0,0.975,0.0,0.0,"[[502  13]
 [ 13   0]]",0.733
Q99593,518,0.792,0.088,0.022,0.934,0.056,0.966,0.056,0.056,"[[483  17]
 [ 17   1]]",0.829
Q9H0F5,515,0.936,0.179,0.045,0.95,0.071,0.974,0.071,0.071,"[[488  13]
 [ 13   1]]",0.566
O69787,512,0.682,0.149,0.078,0.867,0.15,0.928,0.15,0.15,"[[438  34]
 [ 34   6]]",0.871
P11349,512,0.585,0.4,0.068,0.582,0.385,0.683,0.385,0.385,"[[231 107]
 [107  67]]",0.756
P15289,507,0.922,0.076,-0.01,0.98,0.0,0.99,0.0,0.0,"[[497   5]
 [  5   0]]",0.846
Q99FX5,496,0.591,0.016,-0.012,0.976,0.0,0.988,0.0,0.0,"[[484   6]
 [  6   0]]",0.71
P09167,493,0.64,0.193,0.101,0.813,0.207,0.894,0.207,0.207,"[[389  46]
 [ 46  12]]",0.547
O60016,490,0.694,0.03,-0.019,0.963,0.0,0.981,0.0,0.0,"[[472   9]
 [  9   0]]",0.858
P16778,487,0.66,0.012,-0.006,0.988,0.0,0.994,0.0,0.0,"[[481   3]
 [  3   0]]",0.481
Q9BZI7,483,0.956,0.537,0.518,0.954,0.542,0.976,0.542,0.542,"[[448  11]
 [ 11  13]]",0.721
Q5SM28,477,0.755,0.336,0.247,0.811,0.357,0.889,0.357,0.357,"[[362  45]
 [ 45  25]]",0.834
P17901,475,0.854,0.215,0.264,0.958,0.286,0.978,0.286,0.286,"[[451  10]
 [ 10   4]]",0.667
Q01786,466,0.677,0.007,-0.002,0.996,0.0,0.998,0.0,0.0,"[[464   1]
 [  1   0]]",0.753
Q15208,465,0.167,0.013,-0.022,0.957,0.0,0.978,0.0,0.0,"[[445  10]
 [ 10   0]]",0.8
Q16790,459,0.73,0.3,0.235,0.786,0.364,0.872,0.364,0.364,"[[333  49]
 [ 49  28]]",0.623
Q9H7Z6,458,0.655,0.251,0.128,0.79,0.25,0.878,0.25,0.25,"[[346  48]
 [ 48  16]]",0.709
B8HDZ1,445,0.811,0.707,0.477,0.757,0.669,0.809,0.669,0.669,"[[228  54]
 [ 54 109]]",0.654
Q7Z6B0,441,0.788,0.048,-0.021,0.959,0.0,0.979,0.0,0.0,"[[423   9]
 [  9   0]]",0.831
Q99538,433,0.937,0.597,0.561,0.94,0.594,0.968,0.594,0.594,"[[388  13]
 [ 13  19]]",0.78
P0A6H1,424,0.888,0.254,0.161,0.91,0.208,0.952,0.208,0.208,"[[381  19]
 [ 19   5]]",0.699
Q9XVS8,421,0.877,0.404,0.378,0.9,0.432,0.945,0.432,0.432,"[[363  21]
 [ 21  16]]",0.785
A3DBG4,419,0.454,0.042,-0.05,0.905,0.0,0.95,0.0,0.0,"[[379  20]
 [ 20   0]]",0.647
O14733,419,0.135,0.017,-0.029,0.943,0.0,0.971,0.0,0.0,"[[395  12]
 [ 12   0]]",0.745
Q4WQS0,406,0.702,0.055,-0.03,0.941,0.0,0.97,0.0,0.0,"[[382  12]
 [ 12   0]]",0.796
G4RIN4,401,0.533,0.054,0.011,0.915,0.056,0.956,0.056,0.056,"[[366  17]
 [ 17   1]]",0.677
P15529,392,0.773,0.139,0.201,0.934,0.235,0.965,0.235,0.235,"[[362  13]
 [ 13   4]]",0.664
Q3U4G3,392,0.914,0.19,0.282,0.964,0.3,0.982,0.3,0.3,"[[375   7]
 [  7   3]]",0.747
O25175,389,0.517,0.05,-0.051,0.902,0.0,0.949,0.0,0.0,"[[351  19]
 [ 19   0]]",0.517
P49599,388,0.913,0.383,0.283,0.943,0.312,0.97,0.312,0.312,"[[361  11]
 [ 11   5]]",0.75
Q9M8R4,388,0.76,0.355,0.3,0.84,0.392,0.908,0.392,0.392,"[[306  31]
 [ 31  20]]",0.767
Q9S7E4,384,0.918,0.694,0.577,0.885,0.645,0.932,0.645,0.645,"[[300  22]
 [ 22  40]]",0.788
Q9BY41,377,0.734,0.433,0.322,0.761,0.477,0.845,0.477,0.477,"[[246  45]
 [ 45  41]]",0.775
Q84527,372,0.756,0.424,0.236,0.742,0.4,0.836,0.4,0.4,"[[244  48]
 [ 48  32]]",0.685
Q8IEW2,366,0.933,0.571,0.429,0.896,0.486,0.942,0.486,0.486,"[[310  19]
 [ 19  18]]",0.551
P36094,363,0.944,0.615,0.419,0.912,0.467,0.952,0.467,0.467,"[[317  16]
 [ 16  14]]",0.803
O29915,362,0.661,0.055,-0.04,0.923,0.0,0.96,0.0,0.0,"[[334  14]
 [ 14   0]]",0.805
Q13351,362,0.774,0.061,-0.028,0.945,0.0,0.972,0.0,0.0,"[[342  10]
 [ 10   0]]",0.837
B3PDE5,360,0.444,0.037,-0.043,0.917,0.0,0.957,0.0,0.0,"[[330  15]
 [ 15   0]]",0.753
Q94IF5,348,0.586,0.03,-0.024,0.954,0.0,0.976,0.0,0.0,"[[332   8]
 [  8   0]]",0.794
Q6Q0J0,345,0.802,0.226,0.249,0.954,0.273,0.976,0.273,0.273,"[[326   8]
 [  8   3]]",0.869
Q5SMC7,342,0.472,0.026,-0.027,0.947,0.0,0.973,0.0,0.0,"[[324   9]
 [  9   0]]",0.774
O95400,341,0.72,0.148,0.058,0.853,0.138,0.92,0.138,0.138,"[[287  25]
 [ 25   4]]",0.753
C4YMW2,339,0.673,0.172,0.057,0.853,0.138,0.919,0.138,0.138,"[[285  25]
 [ 25   4]]",0.784
Q8TBZ6,339,0.694,0.047,-0.024,0.953,0.0,0.976,0.0,0.0,"[[323   8]
 [  8   0]]",0.775
O95278,331,0.487,0.116,-0.03,0.776,0.098,0.872,0.098,0.098,"[[253  37]
 [ 37   4]]",0.737
Q9NRQ2,329,0.465,0.024,-0.025,0.951,0.0,0.975,0.0,0.0,"[[313   8]
 [  8   0]]",0.656
G7K2D1,328,0.871,0.529,0.36,0.872,0.432,0.928,0.432,0.432,"[[270  21]
 [ 21  16]]",0.872
P77173,328,0.896,0.456,0.424,0.89,0.486,0.939,0.486,0.486,"[[275  18]
 [ 18  17]]",0.772
Q13227,327,0.928,0.464,0.441,0.939,0.474,0.968,0.474,0.474,"[[298  10]
 [ 10   9]]",0.812
Q9HV00,309,0.443,0.014,-0.013,0.974,0.0,0.987,0.0,0.0,"[[301   4]
 [  4   0]]",0.92
C9K1X5,307,0.887,0.452,0.429,0.902,0.483,0.946,0.483,0.483,"[[263  15]
 [ 15  14]]",0.768
A0QWG5,304,0.629,0.239,0.094,0.763,0.234,0.86,0.234,0.234,"[[221  36]
 [ 36  11]]",0.594
P20581,301,0.668,0.125,0.004,0.854,0.083,0.921,0.083,0.083,"[[255  22]
 [ 22   2]]",0.674
Q9UNP9,301,0.686,0.067,-0.042,0.92,0.0,0.958,0.0,0.0,"[[277  12]
 [ 12   0]]",0.835
Q47212,300,0.311,0.063,-0.099,0.82,0.0,0.901,0.0,0.0,"[[246  27]
 [ 27   0]]",0.774
P45379,298,0.771,0.228,0.035,0.785,0.158,0.877,0.158,0.158,"[[228  32]
 [ 32   6]]",0.703
O74986,294,0.308,0.007,-0.007,0.986,0.0,0.993,0.0,0.0,"[[290   2]
 [  2   0]]",0.964
Q9C8L4,294,0.883,0.531,0.461,0.871,0.537,0.925,0.537,0.537,"[[234  19]
 [ 19  22]]",0.758
Q4WF29,292,0.884,0.547,0.444,0.863,0.524,0.92,0.524,0.524,"[[230  20]
 [ 20  22]]",0.797
P06229,291,0.647,0.247,0.068,0.718,0.241,0.827,0.241,0.241,"[[196  41]
 [ 41  13]]",0.633
C7MT25,287,0.876,0.467,0.469,0.909,0.519,0.95,0.519,0.519,"[[247  13]
 [ 13  14]]",0.789
P67087,286,0.803,0.608,0.4,0.811,0.518,0.883,0.518,0.518,"[[203  27]
 [ 27  29]]",0.772
P37551,285,0.75,0.415,0.295,0.768,0.441,0.854,0.441,0.441,"[[193  33]
 [ 33  26]]",0.776
V9P0A9,283,0.686,0.389,0.147,0.668,0.373,0.774,0.373,0.373,"[[161  47]
 [ 47  28]]",0.8
P11086,282,0.77,0.168,0.162,0.879,0.227,0.935,0.227,0.227,"[[243  17]
 [ 17   5]]",0.735
P29241,282,0.572,0.346,0.099,0.631,0.358,0.741,0.358,0.358,"[[149  52]
 [ 52  29]]",0.639
A0A223GEC9,274,0.746,0.36,0.24,0.766,0.385,0.856,0.385,0.385,"[[190  32]
 [ 32  20]]",0.768
Q9P7M3,271,0.437,0.077,-0.051,0.83,0.042,0.907,0.042,0.042,"[[224  23]
 [ 23   1]]",0.762
P13717,266,0.492,0.072,-0.027,0.857,0.05,0.923,0.05,0.05,"[[227  19]
 [ 19   1]]",0.821
P10746,265,0.435,0.041,-0.043,0.917,0.0,0.957,0.0,0.0,"[[243  11]
 [ 11   0]]",0.668
F6BCS4,263,0.827,0.703,0.518,0.779,0.688,0.829,0.688,0.688,"[[141  29]
 [ 29  64]]",0.778
Q8ZPX9,262,0.708,0.053,-0.023,0.954,0.0,0.977,0.0,0.0,"[[250   6]
 [  6   0]]",0.812
A0A010,260,0.833,0.705,0.475,0.785,0.627,0.849,0.627,0.627,"[[157  28]
 [ 28  47]]",0.717
O67757,248,0.758,0.546,0.299,0.758,0.455,0.845,0.455,0.455,"[[163  30]
 [ 30  25]]",0.601
Q0I165,236,0.962,0.654,0.579,0.941,0.611,0.968,0.611,0.611,"[[211   7]
 [  7  11]]",0.897
Q12163,236,0.948,0.771,0.622,0.907,0.676,0.946,0.676,0.676,"[[191  11]
 [ 11  23]]",0.804
O69245,232,0.838,0.641,0.462,0.862,0.543,0.919,0.543,0.543,"[[181  16]
 [ 16  19]]",0.907
O74859,232,0.599,0.192,0.005,0.776,0.133,0.871,0.133,0.133,"[[176  26]
 [ 26   4]]",0.812
P9WGX5,232,0.698,0.387,0.26,0.802,0.378,0.882,0.378,0.378,"[[172  23]
 [ 23  14]]",0.715
Q9XCC7,226,0.614,0.457,0.217,0.708,0.411,0.806,0.411,0.411,"[[137  33]
 [ 33  23]]",0.796
O25140,221,0.47,0.02,-0.018,0.964,0.0,0.982,0.0,0.0,"[[213   4]
 [  4   0]]",0.836
Q9BT30,221,0.806,0.381,0.34,0.891,0.4,0.94,0.4,0.4,"[[189  12]
 [ 12   8]]",0.818
A9CID8,217,0.873,0.651,0.523,0.871,0.6,0.923,0.6,0.6,"[[168  14]
 [ 14  21]]",0.797
Q8DWD0,217,0.927,0.666,0.578,0.917,0.625,0.953,0.625,0.625,"[[184   9]
 [  9  15]]",0.77
P30014,215,0.775,0.731,0.399,0.702,0.67,0.729,0.67,0.67,"[[86 32]
 [32 65]]",0.606
Q8A336,214,0.826,0.547,0.355,0.832,0.455,0.901,0.455,0.455,"[[163  18]
 [ 18  15]]",0.864
Q9BQB4,213,0.738,0.062,-0.029,0.944,0.0,0.971,0.0,0.0,"[[201   6]
 [  6   0]]",0.829
D9PY12,212,0.871,0.527,0.542,0.868,0.622,0.92,0.622,0.622,"[[161  14]
 [ 14  23]]",0.85
Q12285,212,0.896,0.748,0.616,0.83,0.743,0.873,0.743,0.743,"[[124  18]
 [ 18  52]]",0.702
Q8VSD5,212,0.81,0.286,0.271,0.887,0.333,0.938,0.333,0.333,"[[182  12]
 [ 12   6]]",0.823
P31340,211,0.473,0.049,-0.05,0.905,0.0,0.95,0.0,0.0,"[[191  10]
 [ 10   0]]",0.892
P9WK15,210,0.668,0.37,0.181,0.676,0.404,0.778,0.404,0.404,"[[119  34]
 [ 34  23]]",0.77
Q88CM1,207,0.709,0.481,0.272,0.7,0.483,0.789,0.483,0.483,"[[116  31]
 [ 31  29]]",0.709
A0A1Z1F9L9,205,0.453,0.259,-0.167,0.512,0.18,0.653,0.18,0.18,"[[94 50]
 [50 11]]",0.628
Q8Y9T5,205,0.711,0.339,0.147,0.717,0.326,0.821,0.326,0.326,"[[133  29]
 [ 29  14]]",0.69
Q9BUH6,204,0.823,0.408,0.317,0.833,0.414,0.903,0.414,0.414,"[[158  17]
 [ 17  12]]",0.776
P40080,203,0.534,0.082,-0.086,0.842,0.0,0.914,0.0,0.0,"[[171  16]
 [ 16   0]]",0.744
D0VWS5,201,0.769,0.134,0.025,0.891,0.083,0.942,0.083,0.083,"[[178  11]
 [ 11   1]]",0.837
P56162,201,0.905,0.685,0.541,0.91,0.591,0.95,0.591,0.591,"[[170   9]
 [  9  13]]",0.825
O95147,198,0.776,0.042,-0.015,0.97,0.0,0.985,0.0,0.0,"[[192   3]
 [  3   0]]",0.789
O41136,197,0.515,0.082,-0.088,0.838,0.0,0.912,0.0,0.0,"[[165  16]
 [ 16   0]]",0.744
Q93RS6,190,0.568,0.103,-0.092,0.832,0.0,0.908,0.0,0.0,"[[158  16]
 [ 16   0]]",0.784
O75223,188,0.652,0.159,0.049,0.819,0.15,0.899,0.15,0.15,"[[151  17]
 [ 17   3]]",0.764
Q9NY25,188,0.858,0.703,0.402,0.755,0.574,0.828,0.574,0.574,"[[111  23]
 [ 23  31]]",0.554
P40029,184,0.76,0.134,0.048,0.902,0.1,0.948,0.1,0.1,"[[165   9]
 [  9   1]]",0.899
P22629,183,0.938,0.952,0.737,0.869,0.875,0.862,0.875,0.875,"[[75 12]
 [12 84]]",0.737
O25094,180,0.744,0.54,0.32,0.778,0.459,0.86,0.459,0.459,"[[123  20]
 [ 20  17]]",0.801
O00762,179,0.753,0.229,0.117,0.832,0.211,0.906,0.211,0.211,"[[145  15]
 [ 15   4]]",0.924
O60888,179,0.892,0.752,0.561,0.821,0.686,0.875,0.686,0.686,"[[112  16]
 [ 16  35]]",0.908
Q87W03,179,0.851,0.458,0.325,0.832,0.423,0.902,0.423,0.423,"[[138  15]
 [ 15  11]]",0.811
P9WQB5,177,0.667,0.559,0.263,0.672,0.508,0.754,0.508,0.508,"[[89 29]
 [29 30]]",0.906
O07747,176,0.817,0.381,0.233,0.852,0.316,0.917,0.316,0.316,"[[144  13]
 [ 13   6]]",0.698
Q55554,167,0.818,0.426,0.317,0.82,0.423,0.894,0.423,0.423,"[[126  15]
 [ 15  11]]",0.952
P01180,166,0.673,0.304,0.167,0.747,0.323,0.844,0.323,0.323,"[[114  21]
 [ 21  10]]",0.641
P16048,165,0.871,0.612,0.607,0.927,0.647,0.959,0.647,0.647,"[[142   6]
 [  6  11]]",0.931
Q7VYH2,160,0.453,0.399,0.02,0.538,0.393,0.626,0.393,0.393,"[[62 37]
 [37 24]]",0.639
P23657,157,0.834,0.718,0.517,0.771,0.705,0.812,0.705,0.705,"[[78 18]
 [18 43]]",0.747
Q4KC91,156,0.817,0.38,0.311,0.821,0.417,0.894,0.417,0.417,"[[118  14]
 [ 14  10]]",0.796
P40515,155,0.775,0.404,0.276,0.742,0.444,0.832,0.444,0.444,"[[99 20]
 [20 16]]",0.751
Q57221,151,0.791,0.502,0.338,0.854,0.421,0.917,0.421,0.421,"[[121  11]
 [ 11   8]]",0.825
Q98IZ3,150,0.858,0.679,0.603,0.867,0.688,0.915,0.688,0.688,"[[108  10]
 [ 10  22]]",0.829
O33283,149,0.746,0.625,0.414,0.785,0.556,0.858,0.556,0.556,"[[97 16]
 [16 20]]",0.802
O31511,147,0.824,0.732,0.416,0.755,0.591,0.825,0.591,0.591,"[[85 18]
 [18 26]]",0.854
Q8XI95,147,0.805,0.537,0.361,0.782,0.5,0.861,0.5,0.5,"[[99 16]
 [16 16]]",0.74
Q9HU04,147,0.836,0.764,0.576,0.81,0.72,0.856,0.72,0.72,"[[83 14]
 [14 36]]",0.851
Q9HYC4,145,0.849,0.362,0.297,0.862,0.375,0.922,0.375,0.375,"[[119  10]
 [ 10   6]]",0.778
F9USS0,144,0.712,0.345,0.164,0.792,0.286,0.878,0.286,0.286,"[[108  15]
 [ 15   6]]",0.829
Q3YPH0,143,0.561,0.124,-0.015,0.832,0.077,0.908,0.077,0.077,"[[118  12]
 [ 12   1]]",0.788
Q5LEL2,143,0.564,0.168,-0.005,0.748,0.143,0.852,0.143,0.143,"[[104  18]
 [ 18   3]]",0.811
Q9JYH5,143,0.838,0.755,0.451,0.748,0.647,0.804,0.647,0.647,"[[74 18]
 [18 33]]",0.764
Q24570,138,0.672,0.083,-0.053,0.899,0.0,0.947,0.0,0.0,"[[124   7]
 [  7   0]]",0.774
Q8ZVX8,138,0.687,0.585,0.229,0.638,0.519,0.709,0.519,0.519,"[[61 25]
 [25 27]]",0.793
Q9I380,135,0.678,0.496,0.255,0.704,0.459,0.796,0.459,0.459,"[[78 20]
 [20 17]]",0.834
P38877,133,0.485,0.559,-0.04,0.489,0.547,0.414,0.547,0.547,"[[24 34]
 [34 41]]",0.833
P51460,131,0.929,0.694,0.682,0.878,0.765,0.918,0.765,0.765,"[[89  8]
 [ 8 26]]",0.771
Q663P0,130,0.535,0.016,-0.008,0.985,0.0,0.992,0.0,0.0,"[[128   1]
 [  1   0]]",0.934
B2TEV0,129,0.763,0.644,0.454,0.752,0.644,0.81,0.644,0.644,"[[68 16]
 [16 29]]",0.805
P13081,126,0.71,0.371,0.225,0.746,0.385,0.84,0.385,0.385,"[[84 16]
 [16 10]]",0.844
O68196,125,0.823,0.716,0.494,0.824,0.607,0.887,0.607,0.607,"[[86 11]
 [11 17]]",0.834
A1JSR8,120,0.535,0.387,0.13,0.6,0.442,0.688,0.442,0.442,"[[53 24]
 [24 19]]",0.763
A9CIG0,116,0.67,0.026,-0.009,0.983,0.0,0.991,0.0,0.0,"[[114   1]
 [  1   0]]",0.897
Q53VW9,116,0.62,0.72,0.246,0.655,0.733,0.512,0.733,0.733,"[[21 20]
 [20 55]]",0.837
A0A0H3JPM4,114,0.937,0.692,0.562,0.93,0.6,0.962,0.6,0.6,"[[100   4]
 [  4   6]]",0.788
Q9RHG4,114,0.77,0.869,0.424,0.772,0.843,0.581,0.843,0.843,"[[18 13]
 [13 70]]",0.67
Q8ML92,106,0.849,0.675,0.562,0.906,0.615,0.946,0.615,0.615,"[[88  5]
 [ 5  8]]",0.831
Q00459,103,0.573,0.493,0.19,0.612,0.512,0.677,0.512,0.512,"[[42 20]
 [20 21]]",0.836
Q47785,103,0.512,0.398,0.018,0.553,0.361,0.657,0.361,0.361,"[[44 23]
 [23 13]]",0.833
Q5LAZ3,99,0.863,0.536,0.335,0.778,0.476,0.859,0.476,0.476,"[[67 11]
 [11 10]]",0.845
Q6MX18,97,0.528,0.519,0.039,0.526,0.465,0.574,0.465,0.465,"[[31 23]
 [23 20]]",0.862
P78556,96,0.552,0.245,-0.144,0.583,0.13,0.726,0.13,0.13,"[[53 20]
 [20  3]]",0.839
Q5W1E8,96,0.836,0.697,0.485,0.812,0.609,0.877,0.609,0.609,"[[64  9]
 [ 9 14]]",0.84
F7YBW8,93,0.431,0.29,-0.083,0.527,0.267,0.651,0.267,0.267,"[[41 22]
 [22  8]]",0.935
O43504,91,0.7,0.744,0.296,0.648,0.636,0.66,0.636,0.636,"[[31 16]
 [16 28]]",0.838
L7N6F8,90,0.76,0.338,0.202,0.756,0.353,0.849,0.353,0.353,"[[62 11]
 [11  6]]",0.808
Q89VT6,90,0.886,0.513,0.44,0.844,0.533,0.907,0.533,0.533,"[[68  7]
 [ 7  8]]",0.855
A0QP50,87,0.657,0.752,0.289,0.655,0.706,0.583,0.706,0.706,"[[21 15]
 [15 36]]",0.874
Q1MVD4,82,0.747,0.703,0.414,0.707,0.7,0.714,0.7,0.7,"[[30 12]
 [12 28]]",0.818
P41784,80,0.678,0.763,0.243,0.65,0.725,0.517,0.725,0.725,"[[15 14]
 [14 37]]",0.804
Q889N2,80,0.653,0.621,0.123,0.575,0.485,0.638,0.485,0.485,"[[30 17]
 [17 16]]",0.817
Q7Y5B1,78,0.691,0.42,0.26,0.718,0.45,0.81,0.45,0.45,"[[47 11]
 [11  9]]",0.871
Q6Q546,73,0.691,0.384,0.251,0.808,0.364,0.887,0.364,0.364,"[[55  7]
 [ 7  4]]",0.859
P54494,71,0.662,0.284,0.199,0.746,0.357,0.842,0.357,0.357,"[[48  9]
 [ 9  5]]",0.902
