prot_id,prot_len,prot_auc,prot_ap,prot_mcc,prot_acc,prot_pres,prot_spec,prot_sens,prot_f1,prot_conf,cutoff
Q15388,145,0.686,0.061,-0.036,0.931,0.0,0.964,0.0,0.0,"[[135   5]
 [  5   0]]",0.757
E1BSW7,139,0.825,0.66,0.381,0.712,0.608,0.773,0.608,0.608,"[[68 20]
 [20 31]]",0.716
Q7A189,109,0.422,0.104,-0.048,0.78,0.077,0.875,0.077,0.077,"[[84 12]
 [12  1]]",0.74
P0A734,88,0.667,0.444,0.106,0.636,0.36,0.746,0.36,0.36,"[[47 16]
 [16  9]]",0.763
P23945,695,0.758,0.169,0.102,0.894,0.159,0.943,0.159,0.159,"[[614  37]
 [ 37   7]]",0.199
O75807,674,0.897,0.218,0.168,0.973,0.182,0.986,0.182,0.182,"[[654   9]
 [  9   2]]",0.506
Q9BTE3,642,0.203,0.006,-0.008,0.984,0.0,0.992,0.0,0.0,"[[632   5]
 [  5   0]]",0.494
P37090,638,0.722,0.019,-0.009,0.981,0.0,0.991,0.0,0.0,"[[626   6]
 [  6   0]]",0.519
P46075,634,0.747,0.295,0.236,0.83,0.333,0.902,0.333,0.333,"[[499  54]
 [ 54  27]]",0.286
Q87SR8,626,0.846,0.099,-0.025,0.952,0.0,0.975,0.0,0.0,"[[596  15]
 [ 15   0]]",0.597
Q9Y5P4,624,0.819,0.078,0.028,0.946,0.056,0.972,0.056,0.056,"[[589  17]
 [ 17   1]]",0.533
P06601,613,0.96,0.431,0.405,0.977,0.417,0.988,0.417,0.417,"[[594   7]
 [  7   5]]",0.534
Q38846,613,0.435,0.077,0.017,0.866,0.089,0.928,0.089,0.089,"[[527  41]
 [ 41   4]]",0.253
D9SIP4,595,0.756,0.191,0.059,0.896,0.114,0.945,0.114,0.114,"[[529  31]
 [ 31   4]]",0.363
D3GUV9,576,0.777,0.133,0.171,0.944,0.2,0.971,0.2,0.2,"[[540  16]
 [ 16   4]]",0.197
P37173,567,0.835,0.074,0.073,0.965,0.091,0.982,0.091,0.091,"[[546  10]
 [ 10   1]]",0.257
Q9Y6K8,562,0.622,0.092,-0.081,0.851,0.0,0.919,0.0,0.0,"[[478  42]
 [ 42   0]]",0.409
P34913,555,0.293,0.02,-0.03,0.942,0.0,0.97,0.0,0.0,"[[523  16]
 [ 16   0]]",0.202
Q9BZE9,553,0.783,0.431,0.384,0.902,0.438,0.947,0.438,0.438,"[[478  27]
 [ 27  21]]",0.356
P02836,552,0.937,0.339,0.246,0.96,0.267,0.98,0.267,0.267,"[[526  11]
 [ 11   4]]",0.499
Q5TKA1,542,0.726,0.164,0.151,0.889,0.211,0.94,0.211,0.211,"[[474  30]
 [ 30   8]]",0.303
A0A109PTH9,528,0.655,0.037,-0.025,0.951,0.0,0.975,0.0,0.0,"[[502  13]
 [ 13   0]]",0.552
Q99593,518,0.81,0.091,0.022,0.934,0.056,0.966,0.056,0.056,"[[483  17]
 [ 17   1]]",0.592
Q9H0F5,515,0.935,0.178,0.045,0.95,0.071,0.974,0.071,0.071,"[[488  13]
 [ 13   1]]",0.291
O69787,512,0.705,0.178,0.132,0.875,0.2,0.932,0.2,0.2,"[[440  32]
 [ 32   8]]",0.72
P11349,512,0.584,0.408,0.086,0.59,0.397,0.689,0.397,0.397,"[[233 105]
 [105  69]]",0.512
P15289,507,0.916,0.077,-0.01,0.98,0.0,0.99,0.0,0.0,"[[497   5]
 [  5   0]]",0.61
Q99FX5,496,0.955,0.129,-0.012,0.976,0.0,0.988,0.0,0.0,"[[484   6]
 [  6   0]]",0.309
P09167,493,0.662,0.174,0.062,0.805,0.172,0.89,0.172,0.172,"[[387  48]
 [ 48  10]]",0.463
O60016,490,0.826,0.059,-0.019,0.963,0.0,0.981,0.0,0.0,"[[472   9]
 [  9   0]]",0.642
P16778,487,0.51,0.008,-0.006,0.988,0.0,0.994,0.0,0.0,"[[481   3]
 [  3   0]]",0.456
Q9BZI7,483,0.94,0.471,0.43,0.946,0.458,0.972,0.458,0.458,"[[446  13]
 [ 13  11]]",0.517
Q5SM28,477,0.744,0.356,0.263,0.816,0.371,0.892,0.371,0.371,"[[363  44]
 [ 44  26]]",0.583
P17901,475,0.881,0.194,0.338,0.962,0.357,0.98,0.357,0.357,"[[452   9]
 [  9   5]]",0.526
Q01786,466,0.669,0.006,-0.002,0.996,0.0,0.998,0.0,0.0,"[[464   1]
 [  1   0]]",0.572
Q15208,465,0.152,0.013,-0.022,0.957,0.0,0.978,0.0,0.0,"[[445  10]
 [ 10   0]]",0.626
Q16790,459,0.758,0.358,0.282,0.8,0.403,0.88,0.403,0.403,"[[336  46]
 [ 46  31]]",0.549
Q9H7Z6,458,0.566,0.177,0.11,0.786,0.234,0.876,0.234,0.234,"[[345  49]
 [ 49  15]]",0.429
B8HDZ1,445,0.785,0.686,0.429,0.735,0.638,0.791,0.638,0.638,"[[223  59]
 [ 59 104]]",0.457
Q7Z6B0,441,0.567,0.025,-0.021,0.959,0.0,0.979,0.0,0.0,"[[423   9]
 [  9   0]]",0.753
Q99538,433,0.892,0.357,0.393,0.917,0.438,0.955,0.438,0.438,"[[383  18]
 [ 18  14]]",0.576
P0A6H1,424,0.964,0.616,0.647,0.962,0.667,0.98,0.667,0.667,"[[392   8]
 [  8  16]]",0.452
Q9XVS8,421,0.869,0.379,0.289,0.886,0.351,0.938,0.351,0.351,"[[360  24]
 [ 24  13]]",0.65
A3DBG4,419,0.432,0.042,-0.05,0.905,0.0,0.95,0.0,0.0,"[[379  20]
 [ 20   0]]",0.488
O14733,419,0.274,0.02,-0.029,0.943,0.0,0.971,0.0,0.0,"[[395  12]
 [ 12   0]]",0.509
Q4WQS0,406,0.699,0.052,-0.03,0.941,0.0,0.97,0.0,0.0,"[[382  12]
 [ 12   0]]",0.61
G4RIN4,401,0.58,0.056,-0.047,0.91,0.0,0.953,0.0,0.0,"[[365  18]
 [ 18   0]]",0.485
P15529,392,0.826,0.183,0.262,0.939,0.294,0.968,0.294,0.294,"[[363  12]
 [ 12   5]]",0.493
Q3U4G3,392,0.898,0.212,0.179,0.959,0.2,0.979,0.2,0.2,"[[374   8]
 [  8   2]]",0.593
O25175,389,0.517,0.055,-0.051,0.902,0.0,0.949,0.0,0.0,"[[351  19]
 [ 19   0]]",0.256
P49599,388,0.921,0.457,0.348,0.948,0.375,0.973,0.375,0.375,"[[362  10]
 [ 10   6]]",0.515
Q9M8R4,388,0.746,0.272,0.21,0.82,0.314,0.896,0.314,0.314,"[[302  35]
 [ 35  16]]",0.51
Q9S7E4,384,0.906,0.67,0.577,0.885,0.645,0.932,0.645,0.645,"[[300  22]
 [ 22  40]]",0.551
Q9BY41,377,0.79,0.472,0.277,0.745,0.442,0.835,0.442,0.442,"[[243  48]
 [ 48  38]]",0.526
Q84527,372,0.751,0.431,0.283,0.758,0.438,0.846,0.438,0.438,"[[247  45]
 [ 45  35]]",0.461
Q8IEW2,366,0.926,0.575,0.519,0.913,0.568,0.951,0.568,0.568,"[[313  16]
 [ 16  21]]",0.369
P36094,363,0.95,0.502,0.491,0.923,0.533,0.958,0.533,0.533,"[[319  14]
 [ 14  16]]",0.598
O29915,362,0.702,0.063,-0.04,0.923,0.0,0.96,0.0,0.0,"[[334  14]
 [ 14   0]]",0.693
Q13351,362,0.798,0.068,-0.028,0.945,0.0,0.972,0.0,0.0,"[[342  10]
 [ 10   0]]",0.645
B3PDE5,360,0.607,0.08,0.096,0.928,0.133,0.962,0.133,0.133,"[[332  13]
 [ 13   2]]",0.549
Q94IF5,348,0.593,0.052,-0.024,0.954,0.0,0.976,0.0,0.0,"[[332   8]
 [  8   0]]",0.674
Q6Q0J0,345,0.785,0.289,0.249,0.954,0.273,0.976,0.273,0.273,"[[326   8]
 [  8   3]]",0.704
Q5SMC7,342,0.476,0.026,-0.027,0.947,0.0,0.973,0.0,0.0,"[[324   9]
 [  9   0]]",0.575
O95400,341,0.851,0.466,0.322,0.894,0.379,0.942,0.379,0.379,"[[294  18]
 [ 18  11]]",0.534
C4YMW2,339,0.638,0.109,-0.094,0.829,0.0,0.906,0.0,0.0,"[[281  29]
 [ 29   0]]",0.66
Q8TBZ6,339,0.593,0.034,-0.024,0.953,0.0,0.976,0.0,0.0,"[[323   8]
 [  8   0]]",0.589
O95278,331,0.76,0.298,0.332,0.855,0.415,0.917,0.415,0.415,"[[266  24]
 [ 24  17]]",0.521
Q9NRQ2,329,0.576,0.04,-0.025,0.951,0.0,0.975,0.0,0.0,"[[313   8]
 [  8   0]]",0.535
G7K2D1,328,0.919,0.571,0.421,0.884,0.486,0.935,0.486,0.486,"[[272  19]
 [ 19  18]]",0.728
P77173,328,0.907,0.542,0.328,0.872,0.4,0.928,0.4,0.4,"[[272  21]
 [ 21  14]]",0.568
Q13227,327,0.952,0.582,0.441,0.939,0.474,0.968,0.474,0.474,"[[298  10]
 [ 10   9]]",0.645
Q9HV00,309,0.342,0.012,-0.013,0.974,0.0,0.987,0.0,0.0,"[[301   4]
 [  4   0]]",0.792
C9K1X5,307,0.88,0.503,0.391,0.896,0.448,0.942,0.448,0.448,"[[262  16]
 [ 16  13]]",0.604
A0QWG5,304,0.568,0.244,0.094,0.763,0.234,0.86,0.234,0.234,"[[221  36]
 [ 36  11]]",0.341
P20581,301,0.663,0.193,0.094,0.867,0.167,0.928,0.167,0.167,"[[257  20]
 [ 20   4]]",0.557
Q9UNP9,301,0.695,0.065,-0.042,0.92,0.0,0.958,0.0,0.0,"[[277  12]
 [ 12   0]]",0.594
Q47212,300,0.463,0.079,-0.099,0.82,0.0,0.901,0.0,0.0,"[[246  27]
 [ 27   0]]",0.634
P45379,298,0.868,0.517,0.397,0.866,0.474,0.923,0.474,0.474,"[[240  20]
 [ 20  18]]",0.545
O74986,294,0.55,0.011,-0.007,0.986,0.0,0.993,0.0,0.0,"[[290   2]
 [  2   0]]",0.904
Q9C8L4,294,0.892,0.535,0.433,0.864,0.512,0.921,0.512,0.512,"[[233  20]
 [ 20  21]]",0.562
Q4WF29,292,0.936,0.696,0.583,0.897,0.643,0.94,0.643,0.643,"[[235  15]
 [ 15  27]]",0.674
P06229,291,0.625,0.231,0.068,0.718,0.241,0.827,0.241,0.241,"[[196  41]
 [ 41  13]]",0.476
C7MT25,287,0.92,0.521,0.428,0.902,0.481,0.946,0.481,0.481,"[[246  14]
 [ 14  13]]",0.609
P67087,286,0.786,0.468,0.4,0.811,0.518,0.883,0.518,0.518,"[[203  27]
 [ 27  29]]",0.555
P37551,285,0.69,0.353,0.124,0.712,0.305,0.819,0.305,0.305,"[[185  41]
 [ 41  18]]",0.547
V9P0A9,283,0.704,0.387,0.166,0.675,0.387,0.779,0.387,0.387,"[[162  46]
 [ 46  29]]",0.663
P11086,282,0.792,0.232,0.162,0.879,0.227,0.935,0.227,0.227,"[[243  17]
 [ 17   5]]",0.597
P29241,282,0.561,0.336,0.03,0.603,0.309,0.721,0.309,0.309,"[[145  56]
 [ 56  25]]",0.491
A0A223GEC9,274,0.753,0.369,0.264,0.774,0.404,0.86,0.404,0.404,"[[191  31]
 [ 31  21]]",0.53
Q9P7M3,271,0.338,0.064,-0.097,0.823,0.0,0.903,0.0,0.0,"[[223  24]
 [ 24   0]]",0.556
P13717,266,0.657,0.172,0.135,0.88,0.2,0.935,0.2,0.2,"[[230  16]
 [ 16   4]]",0.65
P10746,265,0.529,0.044,-0.043,0.917,0.0,0.957,0.0,0.0,"[[243  11]
 [ 11   0]]",0.518
F6BCS4,263,0.839,0.714,0.501,0.772,0.677,0.824,0.677,0.677,"[[140  30]
 [ 30  63]]",0.601
Q8ZPX9,262,0.717,0.046,-0.023,0.954,0.0,0.977,0.0,0.0,"[[250   6]
 [  6   0]]",0.555
A0A010,260,0.868,0.751,0.569,0.823,0.693,0.876,0.693,0.693,"[[162  23]
 [ 23  52]]",0.516
O67757,248,0.707,0.49,0.299,0.758,0.455,0.845,0.455,0.455,"[[163  30]
 [ 30  25]]",0.336
Q0I165,236,0.958,0.662,0.579,0.941,0.611,0.968,0.611,0.611,"[[211   7]
 [  7  11]]",0.796
Q12163,236,0.948,0.776,0.656,0.915,0.706,0.95,0.706,0.706,"[[192  10]
 [ 10  24]]",0.617
O69245,232,0.855,0.642,0.428,0.853,0.514,0.914,0.514,0.514,"[[180  17]
 [ 17  18]]",0.696
O74859,232,0.567,0.17,-0.11,0.75,0.033,0.856,0.033,0.033,"[[173  29]
 [ 29   1]]",0.644
P9WGX5,232,0.534,0.159,-0.125,0.698,0.054,0.821,0.054,0.054,"[[160  35]
 [ 35   2]]",0.575
Q9XCC7,226,0.625,0.477,0.217,0.708,0.411,0.806,0.411,0.411,"[[137  33]
 [ 33  23]]",0.636
O25140,221,0.4,0.018,-0.018,0.964,0.0,0.982,0.0,0.0,"[[213   4]
 [  4   0]]",0.639
Q9BT30,221,0.802,0.257,0.23,0.873,0.3,0.93,0.3,0.3,"[[187  14]
 [ 14   6]]",0.599
A9CID8,217,0.836,0.568,0.421,0.843,0.514,0.907,0.514,0.514,"[[165  17]
 [ 17  18]]",0.608
Q8DWD0,217,0.908,0.595,0.485,0.899,0.542,0.943,0.542,0.542,"[[182  11]
 [ 11  13]]",0.606
P30014,215,0.745,0.682,0.324,0.665,0.629,0.695,0.629,0.629,"[[82 36]
 [36 61]]",0.386
Q8A336,214,0.821,0.488,0.391,0.841,0.485,0.906,0.485,0.485,"[[164  17]
 [ 17  16]]",0.704
Q9BQB4,213,0.721,0.053,-0.029,0.944,0.0,0.971,0.0,0.0,"[[201   6]
 [  6   0]]",0.775
D9PY12,212,0.906,0.601,0.443,0.84,0.541,0.903,0.541,0.541,"[[158  17]
 [ 17  20]]",0.712
Q12285,212,0.89,0.734,0.659,0.849,0.771,0.887,0.771,0.771,"[[126  16]
 [ 16  54]]",0.603
Q8VSD5,212,0.796,0.252,0.089,0.858,0.167,0.923,0.167,0.167,"[[179  15]
 [ 15   3]]",0.694
P31340,211,0.319,0.036,-0.05,0.905,0.0,0.95,0.0,0.0,"[[191  10]
 [ 10   0]]",0.762
P9WK15,210,0.73,0.437,0.278,0.714,0.474,0.804,0.474,0.474,"[[123  30]
 [ 30  27]]",0.539
Q88CM1,207,0.719,0.515,0.319,0.72,0.517,0.803,0.517,0.517,"[[118  29]
 [ 29  31]]",0.536
A0A1Z1F9L9,205,0.566,0.331,0.043,0.6,0.328,0.715,0.328,0.328,"[[103  41]
 [ 41  20]]",0.512
Q8Y9T5,205,0.703,0.319,0.029,0.678,0.233,0.796,0.233,0.233,"[[129  33]
 [ 33  10]]",0.529
Q9BUH6,204,0.836,0.469,0.397,0.853,0.483,0.914,0.483,0.483,"[[160  15]
 [ 15  14]]",0.605
P40080,203,0.697,0.188,0.186,0.882,0.25,0.936,0.25,0.25,"[[175  12]
 [ 12   4]]",0.585
D0VWS5,201,0.699,0.097,-0.063,0.881,0.0,0.937,0.0,0.0,"[[177  12]
 [ 12   0]]",0.599
P56162,201,0.888,0.622,0.439,0.891,0.5,0.939,0.5,0.5,"[[168  11]
 [ 11  11]]",0.627
O95147,198,0.733,0.036,-0.015,0.97,0.0,0.985,0.0,0.0,"[[192   3]
 [  3   0]]",0.604
O41136,197,0.504,0.112,-0.02,0.848,0.062,0.917,0.062,0.062,"[[166  15]
 [ 15   1]]",0.538
Q93RS6,190,0.658,0.124,-0.092,0.832,0.0,0.908,0.0,0.0,"[[158  16]
 [ 16   0]]",0.615
O75223,188,0.596,0.146,0.049,0.819,0.15,0.899,0.15,0.15,"[[151  17]
 [ 17   3]]",0.55
Q9NY25,188,0.792,0.512,0.35,0.734,0.537,0.813,0.537,0.537,"[[109  25]
 [ 25  29]]",0.439
P40029,184,0.832,0.162,0.048,0.902,0.1,0.948,0.1,0.1,"[[165   9]
 [  9   1]]",0.785
P22629,183,0.923,0.941,0.693,0.847,0.854,0.839,0.854,0.854,"[[73 14]
 [14 82]]",0.557
O25094,180,0.789,0.613,0.388,0.8,0.514,0.874,0.514,0.514,"[[125  18]
 [ 18  19]]",0.639
O00762,179,0.822,0.315,0.235,0.855,0.316,0.919,0.316,0.316,"[[147  13]
 [ 13   6]]",0.778
O60888,179,0.903,0.782,0.534,0.81,0.667,0.867,0.667,0.667,"[[111  17]
 [ 17  34]]",0.751
Q87W03,179,0.792,0.381,0.28,0.821,0.385,0.895,0.385,0.385,"[[137  16]
 [ 16  10]]",0.64
P9WQB5,177,0.716,0.551,0.288,0.684,0.525,0.763,0.525,0.525,"[[90 28]
 [28 31]]",0.834
O07747,176,0.799,0.235,0.056,0.818,0.158,0.898,0.158,0.158,"[[141  16]
 [ 16   3]]",0.419
Q55554,167,0.813,0.415,0.271,0.808,0.385,0.887,0.385,0.385,"[[125  16]
 [ 16  10]]",0.876
P01180,166,0.648,0.272,0.167,0.747,0.323,0.844,0.323,0.323,"[[114  21]
 [ 21  10]]",0.465
P16048,165,0.901,0.629,0.541,0.915,0.588,0.953,0.588,0.588,"[[141   7]
 [  7  10]]",0.821
Q7VYH2,160,0.361,0.356,-0.245,0.412,0.23,0.525,0.23,0.23,"[[52 47]
 [47 14]]",0.522
P23657,157,0.728,0.624,0.303,0.669,0.574,0.729,0.574,0.574,"[[70 26]
 [26 35]]",0.567
Q4KC91,156,0.814,0.414,0.36,0.833,0.458,0.902,0.458,0.458,"[[119  13]
 [ 13  11]]",0.672
P40515,155,0.702,0.342,0.168,0.703,0.361,0.807,0.361,0.361,"[[96 23]
 [23 13]]",0.6
Q57221,151,0.797,0.377,0.217,0.828,0.316,0.902,0.316,0.316,"[[119  13]
 [ 13   6]]",0.691
Q98IZ3,150,0.83,0.637,0.404,0.8,0.531,0.873,0.531,0.531,"[[103  15]
 [ 15  17]]",0.724
O33283,149,0.736,0.616,0.377,0.772,0.528,0.85,0.528,0.528,"[[96 17]
 [17 19]]",0.657
O31511,147,0.809,0.735,0.513,0.796,0.659,0.854,0.659,0.659,"[[88 15]
 [15 29]]",0.74
Q8XI95,147,0.786,0.449,0.281,0.755,0.438,0.843,0.438,0.438,"[[97 18]
 [18 14]]",0.586
Q9HU04,147,0.827,0.771,0.545,0.796,0.7,0.845,0.7,0.7,"[[82 15]
 [15 35]]",0.704
Q9HYC4,145,0.845,0.316,0.227,0.848,0.312,0.915,0.312,0.312,"[[118  11]
 [ 11   5]]",0.712
F9USS0,144,0.565,0.184,0.108,0.778,0.238,0.87,0.238,0.238,"[[107  16]
 [ 16   5]]",0.683
Q3YPH0,143,0.518,0.095,-0.1,0.818,0.0,0.9,0.0,0.0,"[[117  13]
 [ 13   0]]",0.673
Q5LEL2,143,0.482,0.18,-0.116,0.72,0.048,0.836,0.048,0.048,"[[102  20]
 [ 20   1]]",0.64
Q9JYH5,143,0.838,0.686,0.482,0.762,0.667,0.815,0.667,0.667,"[[75 17]
 [17 34]]",0.639
Q24570,138,0.709,0.088,-0.053,0.899,0.0,0.947,0.0,0.0,"[[124   7]
 [  7   0]]",0.604
Q8ZVX8,138,0.712,0.591,0.29,0.667,0.558,0.733,0.558,0.558,"[[63 23]
 [23 29]]",0.675
Q9I380,135,0.657,0.445,0.255,0.704,0.459,0.796,0.459,0.459,"[[78 20]
 [20 17]]",0.719
P38877,133,0.489,0.574,0.022,0.519,0.573,0.448,0.573,0.573,"[[26 32]
 [32 43]]",0.754
P51460,131,0.948,0.798,0.682,0.878,0.765,0.918,0.765,0.765,"[[89  8]
 [ 8 26]]",0.636
Q663P0,130,0.426,0.013,-0.008,0.985,0.0,0.992,0.0,0.0,"[[128   1]
 [  1   0]]",0.773
B2TEV0,129,0.716,0.557,0.283,0.674,0.533,0.75,0.533,0.533,"[[63 21]
 [21 24]]",0.667
P13081,126,0.615,0.286,0.128,0.714,0.308,0.82,0.308,0.308,"[[82 18]
 [18  8]]",0.719
O68196,125,0.834,0.663,0.494,0.824,0.607,0.887,0.607,0.607,"[[86 11]
 [11 17]]",0.687
A1JSR8,120,0.443,0.356,-0.124,0.483,0.279,0.597,0.279,0.279,"[[46 31]
 [31 12]]",0.654
A9CIG0,116,0.635,0.023,-0.009,0.983,0.0,0.991,0.0,0.0,"[[114   1]
 [  1   0]]",0.811
Q53VW9,116,0.639,0.76,0.17,0.621,0.707,0.463,0.707,0.707,"[[19 22]
 [22 53]]",0.744
A0A0H3JPM4,114,0.89,0.631,0.562,0.93,0.6,0.962,0.6,0.6,"[[100   4]
 [  4   6]]",0.669
Q9RHG4,114,0.756,0.854,0.38,0.754,0.831,0.548,0.831,0.831,"[[17 14]
 [14 69]]",0.501
Q8ML92,106,0.861,0.632,0.474,0.887,0.538,0.935,0.538,0.538,"[[87  6]
 [ 6  7]]",0.722
Q00459,103,0.63,0.596,0.23,0.631,0.537,0.694,0.537,0.537,"[[43 19]
 [19 22]]",0.682
Q47785,103,0.599,0.459,0.103,0.592,0.417,0.687,0.417,0.417,"[[46 21]
 [21 15]]",0.705
Q5LAZ3,99,0.878,0.585,0.577,0.859,0.667,0.91,0.667,0.667,"[[71  7]
 [ 7 14]]",0.748
Q6MX18,97,0.447,0.503,-0.044,0.485,0.419,0.537,0.419,0.419,"[[29 25]
 [25 18]]",0.719
P78556,96,0.592,0.271,-0.086,0.604,0.174,0.74,0.174,0.174,"[[54 19]
 [19  4]]",0.752
Q5W1E8,96,0.893,0.792,0.6,0.854,0.696,0.904,0.696,0.696,"[[66  7]
 [ 7 16]]",0.778
F7YBW8,93,0.562,0.391,0.016,0.57,0.333,0.683,0.333,0.333,"[[43 20]
 [20 10]]",0.842
O43504,91,0.731,0.767,0.472,0.736,0.727,0.745,0.727,0.727,"[[35 12]
 [12 32]]",0.703
L7N6F8,90,0.873,0.493,0.492,0.844,0.588,0.904,0.588,0.588,"[[66  7]
 [ 7 10]]",0.717
Q89VT6,90,0.886,0.599,0.52,0.867,0.6,0.92,0.6,0.6,"[[69  6]
 [ 6  9]]",0.702
A0QP50,87,0.739,0.802,0.337,0.678,0.725,0.611,0.725,0.725,"[[22 14]
 [14 37]]",0.762
Q1MVD4,82,0.652,0.572,0.365,0.683,0.675,0.69,0.675,0.675,"[[29 13]
 [13 27]]",0.679
P41784,80,0.671,0.754,0.297,0.675,0.745,0.552,0.745,0.745,"[[16 13]
 [13 38]]",0.718
Q889N2,80,0.62,0.581,0.123,0.575,0.485,0.638,0.485,0.485,"[[30 17]
 [17 16]]",0.683
Q7Y5B1,78,0.675,0.405,0.193,0.692,0.4,0.793,0.4,0.4,"[[46 12]
 [12  8]]",0.792
Q6Q546,73,0.61,0.222,0.144,0.781,0.273,0.871,0.273,0.273,"[[54  8]
 [ 8  3]]",0.723
P54494,71,0.69,0.274,-0.068,0.662,0.143,0.789,0.143,0.143,"[[45 12]
 [12  2]]",0.776
